city,year,weekofyear,total_cases
sj,2011,39,38
sj,2011,40,39
sj,2011,41,40
sj,2011,42,41
sj,2011,43,39
sj,2011,44,38
sj,2011,45,38
sj,2011,46,37
sj,2011,47,33
sj,2011,48,28
sj,2011,49,23
sj,2011,50,20
sj,2011,51,15
sj,2012,52,10
sj,2012,1,21
sj,2012,2,20
sj,2012,3,18
sj,2012,4,16
sj,2012,5,13
sj,2012,6,10
sj,2012,7,10
sj,2012,8,10
sj,2012,9,9
sj,2012,10,8
sj,2012,11,6
sj,2012,12,6
sj,2012,13,5
sj,2012,14,5
sj,2012,15,5
sj,2012,16,7
sj,2012,17,9
sj,2012,18,8
sj,2012,19,8
sj,2012,20,9
sj,2012,21,10
sj,2012,22,11
sj,2012,23,12
sj,2012,24,16
sj,2012,25,19
sj,2012,26,23
sj,2012,27,25
sj,2012,28,25
sj,2012,29,25
sj,2012,30,30
sj,2012,31,32
sj,2012,32,34
sj,2012,33,38
sj,2012,34,38
sj,2012,35,38
sj,2012,36,36
sj,2012,37,35
sj,2012,38,35
sj,2012,39,37
sj,2012,40,39
sj,2012,41,38
sj,2012,42,40
sj,2012,43,42
sj,2012,44,44
sj,2012,45,46
sj,2012,46,47
sj,2012,47,47
sj,2012,48,45
sj,2012,49,42
sj,2012,50,39
sj,2012,51,35
sj,2013,1,24
sj,2013,2,24
sj,2013,3,24
sj,2013,4,22
sj,2013,5,19
sj,2013,6,17
sj,2013,7,16
sj,2013,8,16
sj,2013,9,14
sj,2013,10,12
sj,2013,11,12
sj,2013,12,11
sj,2013,13,12
sj,2013,14,12
sj,2013,15,13
sj,2013,16,12
sj,2013,17,11
iq,2010,26,3
iq,2010,27,3
iq,2010,28,3
iq,2010,29,1
iq,2010,30,1
iq,2010,31,1
iq,2010,32,2
iq,2010,33,4
iq,2010,34,3
iq,2010,35,4
iq,2010,36,4
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,6
iq,2010,41,6
iq,2010,42,7
iq,2010,43,6
iq,2010,44,9
iq,2010,45,7
iq,2010,46,6
iq,2010,47,5
iq,2010,48,8
iq,2010,49,10
iq,2010,50,10
iq,2010,51,9
iq,2011,52,8
iq,2011,1,6
iq,2011,2,7
iq,2011,3,5
iq,2011,4,5
iq,2011,5,3
iq,2011,6,3
iq,2011,7,3
iq,2011,8,4
iq,2011,9,6
iq,2011,10,5
iq,2011,11,6
iq,2011,12,5
iq,2011,13,5
iq,2011,14,6
iq,2011,15,5
iq,2011,16,5
iq,2011,17,4
iq,2011,18,5
iq,2011,19,3
iq,2011,20,3
iq,2011,21,2
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,1
iq,2011,26,1
iq,2011,27,2
iq,2011,28,1
iq,2011,29,1
iq,2011,30,1
iq,2011,31,1
iq,2011,32,1
iq,2011,33,1
iq,2011,34,1
iq,2011,35,1
iq,2011,36,1
iq,2011,37,2
iq,2011,38,2
iq,2011,39,2
iq,2011,40,2
iq,2011,41,2
iq,2011,42,5
iq,2011,43,5
iq,2011,44,4
iq,2011,45,2
iq,2011,46,3
iq,2011,47,6
iq,2011,48,7
iq,2011,49,8
iq,2011,50,6
iq,2011,51,5
iq,2012,52,4
iq,2012,1,5
iq,2012,2,5
iq,2012,3,4
iq,2012,4,3
iq,2012,5,3
iq,2012,6,4
iq,2012,7,5
iq,2012,8,6
iq,2012,9,3
iq,2012,10,3
iq,2012,11,3
iq,2012,12,3
iq,2012,13,2
iq,2012,14,2
iq,2012,15,3
iq,2012,16,4
iq,2012,17,4
iq,2012,18,4
iq,2012,19,2
iq,2012,20,1
iq,2012,21,1
iq,2012,22,1
iq,2012,23,1
iq,2012,24,2
iq,2012,25,2
iq,2012,26,2
iq,2012,27,1
iq,2012,28,1
iq,2012,29,1
iq,2012,30,3
iq,2012,31,3
iq,2012,32,5
iq,2012,33,3
iq,2012,34,3
iq,2012,35,2
iq,2012,36,1
iq,2012,37,2
iq,2012,38,3
iq,2012,39,4
iq,2012,40,2
iq,2012,41,3
iq,2012,42,3
iq,2012,43,6
iq,2012,44,5
iq,2012,45,5
iq,2012,46,6
iq,2012,47,7
iq,2012,48,8
iq,2012,49,9
iq,2012,50,9
iq,2012,51,8
iq,2013,1,7
iq,2013,2,6
iq,2013,3,4
iq,2013,4,4
iq,2013,5,4
iq,2013,6,5
iq,2013,7,5
iq,2013,8,6
iq,2013,9,5
iq,2013,10,6
iq,2013,11,6
iq,2013,12,8
iq,2013,13,8
iq,2013,14,8
iq,2013,15,7
iq,2013,16,7
iq,2013,17,5
iq,2013,18,2
iq,2013,19,2
iq,2013,20,2
iq,2013,21,4
iq,2013,22,3
iq,2013,23,2
iq,2013,24,2
iq,2013,25,1
iq,2013,26,1
