city,year,weekofyear,total_cases
sj,2013,15,10
sj,2013,16,10
sj,2013,17,18
iq,2010,26,8
iq,2010,27,4
iq,2010,28,9
iq,2010,29,3
iq,2010,30,2
iq,2010,31,5
iq,2010,32,2
iq,2010,33,5
iq,2010,34,3
iq,2010,35,6
iq,2010,36,6
iq,2010,37,5
iq,2010,38,7
iq,2010,39,4
iq,2010,40,5
iq,2010,41,6
iq,2010,42,9
iq,2010,43,10
iq,2010,44,17
iq,2010,45,8
iq,2010,46,10
iq,2010,47,13
iq,2010,48,12
iq,2010,49,13
iq,2010,50,12
iq,2010,51,7
iq,2011,52,9
iq,2011,1,5
iq,2011,2,9
iq,2011,3,8
iq,2011,4,4
iq,2011,5,7
iq,2011,6,8
iq,2011,7,9
iq,2011,8,9
iq,2011,9,11
iq,2011,10,8
iq,2011,11,8
iq,2011,12,11
iq,2011,13,9
iq,2011,14,10
iq,2011,15,9
iq,2011,16,8
iq,2011,17,8
iq,2011,18,10
iq,2011,19,4
iq,2011,20,5
iq,2011,21,7
iq,2011,22,5
iq,2011,23,4
iq,2011,24,6
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,3
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,2
iq,2011,34,3
iq,2011,35,2
iq,2011,36,3
iq,2011,37,5
iq,2011,38,5
iq,2011,39,6
iq,2011,40,7
iq,2011,41,9
iq,2011,42,13
iq,2011,43,8
iq,2011,44,6
iq,2011,45,8
iq,2011,46,9
iq,2011,47,10
iq,2011,48,10
iq,2011,49,11
iq,2011,50,8
iq,2011,51,9
iq,2012,52,12
iq,2012,1,8
iq,2012,2,8
iq,2012,3,8
iq,2012,4,6
iq,2012,5,8
iq,2012,6,11
iq,2012,7,8
iq,2012,8,6
iq,2012,9,6
iq,2012,10,8
iq,2012,11,6
iq,2012,12,5
iq,2012,13,8
iq,2012,14,6
iq,2012,15,10
iq,2012,16,9
iq,2012,17,7
iq,2012,18,8
iq,2012,19,4
iq,2012,20,7
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,3
iq,2012,25,5
iq,2012,26,5
iq,2012,27,4
iq,2012,28,3
iq,2012,29,5
iq,2012,30,1
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,4
iq,2012,35,3
iq,2012,36,3
iq,2012,37,3
iq,2012,38,3
iq,2012,39,5
iq,2012,40,3
iq,2012,41,8
iq,2012,42,8
iq,2012,43,10
iq,2012,44,10
iq,2012,45,9
iq,2012,46,12
iq,2012,47,12
iq,2012,48,16
iq,2012,49,10
iq,2012,50,11
iq,2012,51,13
iq,2013,1,11
iq,2013,2,6
iq,2013,3,5
iq,2013,4,10
iq,2013,5,8
iq,2013,6,11
iq,2013,7,9
iq,2013,8,11
iq,2013,9,7
iq,2013,10,9
iq,2013,11,12
iq,2013,12,12
iq,2013,13,12
iq,2013,14,10
iq,2013,15,8
iq,2013,16,10
iq,2013,17,9
iq,2013,18,3
iq,2013,19,10
iq,2013,20,9
iq,2013,21,8
iq,2013,22,7
iq,2013,23,7
iq,2013,24,4
iq,2013,25,4
iq,2013,26,4
